SEP=,
FROM,TO,DEMAND
Buch am Irchel West,Winterthur Rosenberg Nord,0.364179051
Buch am Irchel West,Winterthur Rosenberg West,0.377443901
Buch am Irchel West,Winterthur Blumenau Nord,2.353210542
Buch am Irchel West,Winterthur Blumenau S�d,4.48692269
Buch am Irchel West,Winterthur Blumenau Ost,2.193875833
Buch am Irchel West,Winterthur Weinberg Nord,0.345166918
Buch am Irchel West,Winterthur Weinberg S�d,1.164444043
Buch am Irchel West,Winterthur Oberfeld Nord,0.570909814
Buch am Irchel West,Winterthur Oberfeld West,1.108389836
Buch am Irchel West,Winterthur Oberfeld Ost,1.181561224
Buch am Irchel West,Winterthur Oberfeld S�dwest,1.170014872
Buch am Irchel West,Winterthur Oberfeld S�dost,0.648439534
Buch am Irchel West,Winterthur Oberfeld Mitte,3.402642785
Buch am Irchel West,Winterthur Lindenplatz Nord,4.858487183
Buch am Irchel West,Winterthur Lindenplatz S�d,2.213246622
Buch am Irchel West,Winterthur Lindenplatz Ost,2.745007162
Buch am Irchel West,Winterthur Niederfeld,2.72079122
Buch am Irchel West,Winterthur Neuburg,0.197709743
Buch am Irchel West,Winterthur Hardau,0.588953954
Buch am Irchel West,Winterthur H�rti Nord,3.567551268
Buch am Irchel West,Winterthur H�rti S�d,7.515940763
Buch am Irchel West,Winterthur Taggenberg Nord,0.324203086
Buch am Irchel West,Winterthur Taggenberg S�d,1.750532774
Buch am Irchel West,Winterthur Deutweg S�d,0.284798525
Buch am Irchel West,Winterthur Deutweg West,0.276539018
Buch am Irchel West,Winterthur Deutweg Ost,0.487201245
Buch am Irchel West,Winterthur Deutweg Nordwest,0.705880663
Buch am Irchel West,Winterthur Deutweg Nordost,0.243483229
Buch am Irchel West,Winterthur Gutschick,0.524524383
Buch am Irchel West,Winterthur Endliker,0.372279695
Buch am Irchel West,Zell (ZH) Nord,0.000135449
Buch am Irchel West,Zell (ZH) West,0.075797433
Buch am Irchel West,Zell (ZH) S�d,0.055300215
Buch am Irchel West,Zell (ZH) Ost,6.0056E-05
Buch am Irchel West,Gachnang,0.231596112
Buch am Irchel Ost,Buch am Irchel West,2.276203487
Buch am Irchel Ost,Buch am Irchel Ost,0
Buch am Irchel Ost,Bassersdorf Nord,0.001411052
Buch am Irchel Ost,N�rensdorf S�d,0.008531556
Buch am Irchel Ost,N�rensdorf Nord,0.008604278
Buch am Irchel Ost,N�rensdorf Ost,0.004616199
Buch am Irchel Ost,Oberembrach Ost,0.000680898
Buch am Irchel Ost,Kyburg Ost,0.000633768
Buch am Irchel Ost,Kyburg West,0.000546067
Buch am Irchel Ost,Lindau Nord,0.006908231
Buch am Irchel Ost,Lindau Kemptthal,0.020611112
Buch am Irchel Ost,Lindau Zentrum,0.00518213
Buch am Irchel Ost,Weisslingen Nord,6.232E-05
Buch am Irchel Ost,Bertschikon Nord,0.001391556
Buch am Irchel Ost,Bertschikon West,0.000630646
Buch am Irchel Ost,Bertschikon Ost,5.90617E-05
Buch am Irchel Ost,Br�tten,0.019851813
Buch am Irchel Ost,D�gerlen S�d,0.004815772
Buch am Irchel Ost,D�ttlikon,0.02419364
Buch am Irchel Ost,Dinhard Ost,0.000584991
Buch am Irchel Ost,Dinhard S�d,0.004477638
Buch am Irchel Ost,Ellikon an der Thur,0.002352173
Buch am Irchel Ost,Elsau Nord,0.000192915
Buch am Irchel Ost,Elsau West,0.020771815
Buch am Irchel Ost,Elsau S�d,0.005297947
Buch am Irchel Ost,Hettlingen West,0.030101082
Buch am Irchel Ost,Hettlingen Ost,0.00884234
Buch am Irchel Ost,Hofstetten (ZH) Nord,0.000711375
Buch am Irchel Ost,Hofstetten (ZH) S�d,7.88747E-06
Buch am Irchel Ost,Neftenbach West,0.290127398
Buch am Irchel Ost,Neftenbach Nordost,1.48527714
Buch am Irchel Ost,Neftenbach Ost,3.752586868
Buch am Irchel Ost,Neftenbach S�d,0.257911632
Buch am Irchel Ost,Pfungen,0.124330448
Buch am Irchel Ost,Rickenbach (ZH) S�d,0.006647445
Buch am Irchel Ost,Rickenbach (ZH) Nord,0.002999773
Buch am Irchel Ost,Schlatt Ost,0.000324323
Buch am Irchel Ost,Schlatt West,1.58381E-05
Buch am Irchel Ost,Seuzach West,0.02022876
Buch am Irchel Ost,Seuzach Nord,0.045617688
Buch am Irchel Ost,Seuzach S�d,0.026370037
Buch am Irchel Ost,Wiesendangen Nord,0.001402821
Buch am Irchel Ost,Wiesendangen West,0.013330287
Buch am Irchel Ost,Wiesendangen Ost,0.008426791
Buch am Irchel Ost,Wiesendangen Menzengr�t,3.78477E-05
Buch am Irchel Ost,Winterthur Altstadt Nord,0.640157337
Buch am Irchel Ost,Winterthur Altstadt West,1.136364964
Buch am Irchel Ost,Winterthur Altstadt Mitte,0.217337531
Buch am Irchel Ost,Winterthur Altstadt Ost,0.066710495
Buch am Irchel Ost,Winterthur Lind Nord,0.031709978
Buch am Irchel Ost,Winterthur Lind Mitte,0.097588951
Buch am Irchel Ost,Winterthur Lind S�dwest,0.210031451
Buch am Irchel Ost,Winterthur Lind S�dost,0.066575749
Buch am Irchel Ost,Winterthur Lind Ost,0.037833503
Buch am Irchel Ost,Winterthur Heiligberg Nord,0.39604981
Buch am Irchel Ost,Winterthur Heiligberg West,0.022084917
Buch am Irchel Ost,Winterthur Heiligberg Ost,0.024677323
Buch am Irchel Ost,Winterthur Heiligberg S�d,0.02437545
Buch am Irchel Ost,Winterthur T�ssfeld Nord,0.121968078
Buch am Irchel Ost,Winterthur T�ssfeld S�d,0.051918249
Buch am Irchel Ost,Winterthur T�ssfeld Ost,0.05842139
Buch am Irchel Ost,Winterthur Br�hlberg West,0.03449679
Buch am Irchel Ost,Winterthur Br�hlberg Ost,0.070567485
Buch am Irchel Ost,Winterthur Neuwiesen S�d,0.051735054
Buch am Irchel Ost,Winterthur Neuwiesen West,0.111837167
Buch am Irchel Ost,Winterthur Neuwiesen Ost,0.808309683
Buch am Irchel Ost,Winterthur Neuwiesen Nord,0.196407805
Buch am Irchel Ost,Winterthur Talacker Nord,0.007840183
Buch am Irchel Ost,Winterthur Talacker Ost,0.051486221
Buch am Irchel Ost,Winterthur Talacker S�d,0.038407746
Buch am Irchel Ost,Winterthur Talacker Zentrum,0.022663021
Buch am Irchel Ost,Winterthur Guggenb�hl West,0.04986321
Buch am Irchel Ost,Winterthur Guggenb�hl Ost,0.02016328
Buch am Irchel Ost,Winterthur Gr�ze West,0.012881945
Buch am Irchel Ost,Winterthur Gr�ze S�d,0.030923138
Buch am Irchel Ost,Winterthur Gr�ze S�dost,0.040015337
Buch am Irchel Ost,Winterthur Gr�ze Nordwest,0.010076762
Buch am Irchel Ost,Winterthur Gr�ze Zentrum,0.046740798
Buch am Irchel Ost,Winterthur Gr�ze Nordost,0.011166998
Buch am Irchel Ost,Winterthur Gr�ze Ost,0.012006563
Buch am Irchel Ost,Winterthur Hegmatten,0.032910926
