SEP=,
FROM,TO,DEMAND
Oberembrach Ost,Winterthur Gutschick,0.066445724
Oberembrach Ost,Winterthur Endliker,0.048008045
Oberembrach Ost,Zell (ZH) Nord,9.33085E-05
Oberembrach Ost,Zell (ZH) West,0.084021392
Oberembrach Ost,Zell (ZH) S�d,0.060645494
Oberembrach Ost,Zell (ZH) Ost,4.85191E-05
Oberembrach Ost,Gachnang,0.050280856
Kyburg Ost,Buch am Irchel West,0.013277405
Kyburg Ost,Buch am Irchel Ost,0.002807817
Kyburg Ost,Bassersdorf Nord,0.005087833
Kyburg Ost,N�rensdorf S�d,0.030664048
Kyburg Ost,N�rensdorf Nord,0.028714637
Kyburg Ost,N�rensdorf Ost,0.015010657
Kyburg Ost,Oberembrach Ost,0.001102188
Kyburg Ost,Kyburg Ost,0
Kyburg Ost,Kyburg West,0
Kyburg Ost,Lindau Nord,0.097772343
Kyburg Ost,Lindau Kemptthal,0.278414257
Kyburg Ost,Lindau Zentrum,0.062155535
Kyburg Ost,Weisslingen Nord,0.052911842
Kyburg Ost,Bertschikon Nord,0.002866509
Kyburg Ost,Bertschikon West,0.001442859
Kyburg Ost,Bertschikon Ost,0.00014635
Kyburg Ost,Br�tten,0.074643043
Kyburg Ost,D�gerlen S�d,0.023796975
Kyburg Ost,D�ttlikon,0.009771587
Kyburg Ost,Dinhard Ost,0.034965268
Kyburg Ost,Dinhard S�d,0.014705865
Kyburg Ost,Ellikon an der Thur,0.048272333
Kyburg Ost,Elsau Nord,0.003346812
Kyburg Ost,Elsau West,0.727375528
Kyburg Ost,Elsau S�d,0.177401695
Kyburg Ost,Hettlingen West,0.117029515
Kyburg Ost,Hettlingen Ost,0.042870699
Kyburg Ost,Hofstetten (ZH) Nord,0.02880014
Kyburg Ost,Hofstetten (ZH) S�d,0.000922484
Kyburg Ost,Neftenbach West,0.004351624
Kyburg Ost,Neftenbach Nordost,0.036065476
Kyburg Ost,Neftenbach Ost,0.24042163
Kyburg Ost,Neftenbach S�d,0.030468233
Kyburg Ost,Pfungen,0.127651754
Kyburg Ost,Rickenbach (ZH) S�d,0.117135234
Kyburg Ost,Rickenbach (ZH) Nord,0.057738954
Kyburg Ost,Schlatt Ost,0.04801906
Kyburg Ost,Schlatt West,0.00644439
Kyburg Ost,Seuzach West,0.121588286
Kyburg Ost,Seuzach Nord,0.294973376
Kyburg Ost,Seuzach S�d,0.15363072
Kyburg Ost,Wiesendangen Nord,0.02673032
Kyburg Ost,Wiesendangen West,0.235423774
Kyburg Ost,Wiesendangen Ost,0.107226786
Kyburg Ost,Wiesendangen Menzengr�t,8.10098E-05
Kyburg Ost,Winterthur Altstadt Nord,1.35233873
Kyburg Ost,Winterthur Altstadt West,3.453365058
Kyburg Ost,Winterthur Altstadt Mitte,0.660135893
Kyburg Ost,Winterthur Altstadt Ost,0.23323191
Kyburg Ost,Winterthur Lind Nord,0.118157392
Kyburg Ost,Winterthur Lind Mitte,0.283334211
Kyburg Ost,Winterthur Lind S�dwest,0.450578317
Kyburg Ost,Winterthur Lind S�dost,0.279320893
Kyburg Ost,Winterthur Lind Ost,0.183916759
Kyburg Ost,Winterthur Heiligberg Nord,1.273052333
Kyburg Ost,Winterthur Heiligberg West,0.077625728
Kyburg Ost,Winterthur Heiligberg Ost,0.100031515
Kyburg Ost,Winterthur Heiligberg S�d,0.088064385
Kyburg Ost,Winterthur T�ssfeld Nord,0.29660191
Kyburg Ost,Winterthur T�ssfeld S�d,0.117280906
Kyburg Ost,Winterthur T�ssfeld Ost,0.144025902
Kyburg Ost,Winterthur Br�hlberg West,0.080446869
Kyburg Ost,Winterthur Br�hlberg Ost,0.169441437
Kyburg Ost,Winterthur Neuwiesen S�d,0.121305891
Kyburg Ost,Winterthur Neuwiesen West,0.076115314
Kyburg Ost,Winterthur Neuwiesen Ost,1.795021212
Kyburg Ost,Winterthur Neuwiesen Nord,0.187370324
Kyburg Ost,Winterthur Talacker Nord,0.050556152
Kyburg Ost,Winterthur Talacker Ost,0.348009686
Kyburg Ost,Winterthur Talacker S�d,0.160892526
Kyburg Ost,Winterthur Talacker Zentrum,0.088663008
Kyburg Ost,Winterthur Guggenb�hl West,0.174667486
Kyburg Ost,Winterthur Guggenb�hl Ost,0.249188688
Kyburg Ost,Winterthur Gr�ze West,0.157468083
Kyburg Ost,Winterthur Gr�ze S�d,0.95146904
Kyburg Ost,Winterthur Gr�ze S�dost,0.558460947
Kyburg Ost,Winterthur Gr�ze Nordwest,0.450915076
Kyburg Ost,Winterthur Gr�ze Zentrum,1.209230292
Kyburg Ost,Winterthur Gr�ze Nordost,0.098533576
Kyburg Ost,Winterthur Gr�ze Ost,0.054069687
Kyburg Ost,Winterthur Hegmatten,0.410969633
Kyburg Ost,Winterthur Hegi Nord,0.216112225
Kyburg Ost,Winterthur Hegi S�d,0.129949338
Kyburg Ost,Winterthur Zinzikon,0.200427898
Kyburg Ost,Winterthur Reutlingen,0.047171572
Kyburg Ost,Winterthur Stadel,0.024031275
Kyburg Ost,Winterthur Ricketwil,0.007065201
Kyburg Ost,Winterthur Waser,2.951641356
Kyburg Ost,Winterthur B�elwiesen,3.034183804
Kyburg Ost,Winterthur Waldegg,0.390338759
Kyburg Ost,Winterthur Ganzenb�hl West,0.30219288
Kyburg Ost,Winterthur Ganzenb�hl Ost,0.829771171
Kyburg Ost,Winterthur Sonnenberg,0.866846601
Kyburg Ost,Winterthur Oberseen,0.838348974
Kyburg Ost,Winterthur Gotzenwil,0.23353861
Kyburg Ost,Winterthur Eidberg,0.090059482
Kyburg Ost,Winterthur Iberg,1.023689726
Kyburg Ost,Winterthur Sennhof,0
Kyburg Ost,Winterthur Schlosstal West,0.025775391
Kyburg Ost,Winterthur Schlosstal S�d,0.059330963
Kyburg Ost,Winterthur Schlosstal Nord,0.056523823
Kyburg Ost,Winterthur Schlosstal Ost,0.154489191
Kyburg Ost,Winterthur D�ttnau Nord,0.051807258
Kyburg Ost,Winterthur D�ttnau S�d,0.092320332
Kyburg Ost,Winterthur Eichliacker West,0.040418395
Kyburg Ost,Winterthur Eichliacker S�d,0.049982549
Kyburg Ost,Winterthur Eichliacker Mitte,0.084371
Kyburg Ost,Winterthur Eichliacker Nord,0.173744056
Kyburg Ost,Winterthur Eichliacker Ost,0.079970793
Kyburg Ost,Winterthur Rossberg,0.0256549
Kyburg Ost,Winterthur Rosenberg Ost,0.104315208
Kyburg Ost,Winterthur Rosenberg S�d,0.129734046
Kyburg Ost,Winterthur Rosenberg Nord,0.081234858
Kyburg Ost,Winterthur Rosenberg West,0.089239409
Kyburg Ost,Winterthur Blumenau Nord,0.110105167
Kyburg Ost,Winterthur Blumenau S�d,0.183673252
Kyburg Ost,Winterthur Blumenau Ost,0.134812106
Kyburg Ost,Winterthur Weinberg Nord,0.027305254
Kyburg Ost,Winterthur Weinberg S�d,0.078903436
Kyburg Ost,Winterthur Oberfeld Nord,0.044116383
Kyburg Ost,Winterthur Oberfeld West,0.030965661
Kyburg Ost,Winterthur Oberfeld Ost,0.094166755
Kyburg Ost,Winterthur Oberfeld S�dwest,0.052511344
Kyburg Ost,Winterthur Oberfeld S�dost,0.029583967
Kyburg Ost,Winterthur Oberfeld Mitte,0.079609028
Kyburg Ost,Winterthur Lindenplatz Nord,0.116557237
Kyburg Ost,Winterthur Lindenplatz S�d,0.050078143
Kyburg Ost,Winterthur Lindenplatz Ost,0.068316596
Kyburg Ost,Winterthur Niederfeld,0.119433548
Kyburg Ost,Winterthur Neuburg,0.007434655
Kyburg Ost,Winterthur Hardau,0.012225783
Kyburg Ost,Winterthur H�rti Nord,0.060721306
Kyburg Ost,Winterthur H�rti S�d,0.127901455
Kyburg Ost,Winterthur Taggenberg Nord,0.0109719
Kyburg Ost,Winterthur Taggenberg S�d,0.028788678
Kyburg Ost,Winterthur Deutweg S�d,0.110645586
Kyburg Ost,Winterthur Deutweg West,0.107636294
Kyburg Ost,Winterthur Deutweg Ost,0.281418599
Kyburg Ost,Winterthur Deutweg Nordwest,0.298688662
Kyburg Ost,Winterthur Deutweg Nordost,0.161340654
Kyburg Ost,Winterthur Gutschick,0.560288239
Kyburg Ost,Winterthur Endliker,0.425198639
Kyburg Ost,Zell (ZH) Nord,0.00231233
Kyburg Ost,Zell (ZH) West,4.595670721
Kyburg Ost,Zell (ZH) S�d,3.282253227
Kyburg Ost,Zell (ZH) Ost,0.001203206
Kyburg Ost,Gachnang,0.44084723
Kyburg West,Buch am Irchel West,0.02677457
Kyburg West,Buch am Irchel Ost,0.005241241
Kyburg West,Bassersdorf Nord,0.011917607
Kyburg West,N�rensdorf S�d,0.071128512
Kyburg West,N�rensdorf Nord,0.0676458
Kyburg West,N�rensdorf Ost,0.038285176
Kyburg West,Oberembrach Ost,0.002612869
Kyburg West,Kyburg Ost,0
Kyburg West,Kyburg West,0
Kyburg West,Lindau Nord,0.224337821
Kyburg West,Lindau Kemptthal,0.648797249
Kyburg West,Lindau Zentrum,0.109957345
Kyburg West,Weisslingen Nord,0.117090223
Kyburg West,Bertschikon Nord,0
Kyburg West,Bertschikon West,0
Kyburg West,Bertschikon Ost,0
Kyburg West,Br�tten,0.189721304
Kyburg West,D�gerlen S�d,0.044693892
Kyburg West,D�ttlikon,0.0191107
Kyburg West,Dinhard Ost,0.055494881
Kyburg West,Dinhard S�d,0.028509288
Kyburg West,Ellikon an der Thur,0.096837663
Kyburg West,Elsau Nord,0.004720966
Kyburg West,Elsau West,1.497686969
Kyburg West,Elsau S�d,0.364453008
Kyburg West,Hettlingen West,0.225334029
Kyburg West,Hettlingen Ost,0.080831749
Kyburg West,Hofstetten (ZH) Nord,0.059778065
Kyburg West,Hofstetten (ZH) S�d,0.001272653
Kyburg West,Neftenbach West,0.009373992
Kyburg West,Neftenbach Nordost,0.069236569
Kyburg West,Neftenbach Ost,0.635837699
Kyburg West,Neftenbach S�d,0.069747619
Kyburg West,Pfungen,0.331763671
Kyburg West,Rickenbach (ZH) S�d,0.242925052
Kyburg West,Rickenbach (ZH) Nord,0.124354004
Kyburg West,Schlatt Ost,0.06746333
Kyburg West,Schlatt West,0.009642471
Kyburg West,Seuzach West,0.296369043
Kyburg West,Seuzach Nord,0.655316165
Kyburg West,Seuzach S�d,0.365272234
Kyburg West,Wiesendangen Nord,0.057891589
Kyburg West,Wiesendangen West,0.497718693
Kyburg West,Wiesendangen Ost,0.15105366
Kyburg West,Wiesendangen Menzengr�t,0
Kyburg West,Winterthur Altstadt Nord,3.311352568
Kyburg West,Winterthur Altstadt West,8.385750374
Kyburg West,Winterthur Altstadt Mitte,1.439279249
Kyburg West,Winterthur Altstadt Ost,0.501416869
Kyburg West,Winterthur Lind Nord,0.273002394
Kyburg West,Winterthur Lind Mitte,0.641114563
Kyburg West,Winterthur Lind S�dwest,1.06099011
Kyburg West,Winterthur Lind S�dost,0.561512719
Kyburg West,Winterthur Lind Ost,0.409024302
Kyburg West,Winterthur Heiligberg Nord,3.198513677
Kyburg West,Winterthur Heiligberg West,0.201968667
Kyburg West,Winterthur Heiligberg Ost,0.231788403
Kyburg West,Winterthur Heiligberg S�d,0.224470385
Kyburg West,Winterthur T�ssfeld Nord,0.796150863
Kyburg West,Winterthur T�ssfeld S�d,0.312766631
Kyburg West,Winterthur T�ssfeld Ost,0.386490228
Kyburg West,Winterthur Br�hlberg West,0.218976973
Kyburg West,Winterthur Br�hlberg Ost,0.459488331
Kyburg West,Winterthur Neuwiesen S�d,0.310060471
Kyburg West,Winterthur Neuwiesen West,0.192266042
Kyburg West,Winterthur Neuwiesen Ost,4.66628851
Kyburg West,Winterthur Neuwiesen Nord,0.479463609
Kyburg West,Winterthur Talacker Nord,0.108730601
Kyburg West,Winterthur Talacker Ost,0.730800513
Kyburg West,Winterthur Talacker S�d,0.345919561
Kyburg West,Winterthur Talacker Zentrum,0.189556449
Kyburg West,Winterthur Guggenb�hl West,0.357006347
Kyburg West,Winterthur Guggenb�hl Ost,0.479682885
Kyburg West,Winterthur Gr�ze West,0.34662752
Kyburg West,Winterthur Gr�ze S�d,2.06162511
Kyburg West,Winterthur Gr�ze S�dost,1.166722917
Kyburg West,Winterthur Gr�ze Nordwest,0.99395318
Kyburg West,Winterthur Gr�ze Zentrum,2.659593938
Kyburg West,Winterthur Gr�ze Nordost,0.206654188
Kyburg West,Winterthur Gr�ze Ost,0.109769074
Kyburg West,Winterthur Hegmatten,0.862503118
Kyburg West,Winterthur Hegi Nord,0.430166031
Kyburg West,Winterthur Hegi S�d,0.263585855
Kyburg West,Winterthur Zinzikon,0.383515171
Kyburg West,Winterthur Reutlingen,0.092176551
Kyburg West,Winterthur Stadel,0.037359828
Kyburg West,Winterthur Ricketwil,0.009892471
Kyburg West,Winterthur Waser,6.395260908
Kyburg West,Winterthur B�elwiesen,6.494480751
Kyburg West,Winterthur Waldegg,0.808953225
Kyburg West,Winterthur Ganzenb�hl West,0.624293817
Kyburg West,Winterthur Ganzenb�hl Ost,1.70672362
Kyburg West,Winterthur Sonnenberg,1.851434143
Kyburg West,Winterthur Oberseen,1.735237374
Kyburg West,Winterthur Gotzenwil,0.479065205
Kyburg West,Winterthur Eidberg,0.193671081
Kyburg West,Winterthur Iberg,2.269180646
Kyburg West,Winterthur Sennhof,0
Kyburg West,Winterthur Schlosstal West,0.069022031
Kyburg West,Winterthur Schlosstal S�d,0.15953757
Kyburg West,Winterthur Schlosstal Nord,0.151276009
Kyburg West,Winterthur Schlosstal Ost,0.414415121
Kyburg West,Winterthur D�ttnau Nord,0.132307829
Kyburg West,Winterthur D�ttnau S�d,0.244222318
Kyburg West,Winterthur Eichliacker West,0.107109413
Kyburg West,Winterthur Eichliacker S�d,0.12887482
Kyburg West,Winterthur Eichliacker Mitte,0.225349087
Kyburg West,Winterthur Eichliacker Nord,0.46570634
Kyburg West,Winterthur Eichliacker Ost,0.204379435
Kyburg West,Winterthur Rossberg,0.048707949
Kyburg West,Winterthur Rosenberg Ost,0.279546504
Kyburg West,Winterthur Rosenberg S�d,0.316113876
Kyburg West,Winterthur Rosenberg Nord,0.218774744
Kyburg West,Winterthur Rosenberg West,0.229557711
Kyburg West,Winterthur Blumenau Nord,0.279305155
Kyburg West,Winterthur Blumenau S�d,0.470175389
Kyburg West,Winterthur Blumenau Ost,0.331392454
Kyburg West,Winterthur Weinberg Nord,0.07482724
Kyburg West,Winterthur Weinberg S�d,0.215902295
Kyburg West,Winterthur Oberfeld Nord,0.120614339
Kyburg West,Winterthur Oberfeld West,0.080955283
Kyburg West,Winterthur Oberfeld Ost,0.25619496
Kyburg West,Winterthur Oberfeld S�dwest,0.140676048
Kyburg West,Winterthur Oberfeld S�dost,0.07926468
Kyburg West,Winterthur Oberfeld Mitte,0.215036766
Kyburg West,Winterthur Lindenplatz Nord,0.318805889
Kyburg West,Winterthur Lindenplatz S�d,0.133519344
Kyburg West,Winterthur Lindenplatz Ost,0.185307895
Kyburg West,Winterthur Niederfeld,0.319467744
Kyburg West,Winterthur Neuburg,0.0201569
Kyburg West,Winterthur Hardau,0.03396572
Kyburg West,Winterthur H�rti Nord,0.165816222
Kyburg West,Winterthur H�rti S�d,0.349919134
Kyburg West,Winterthur Taggenberg Nord,0.027543443
Kyburg West,Winterthur Taggenberg S�d,0.076307635
Kyburg West,Winterthur Deutweg S�d,0.247203121
Kyburg West,Winterthur Deutweg West,0.233334476
Kyburg West,Winterthur Deutweg Ost,0.605179996
Kyburg West,Winterthur Deutweg Nordwest,0.635406658
Kyburg West,Winterthur Deutweg Nordost,0.338607443
Kyburg West,Winterthur Gutschick,1.170321308
Kyburg West,Winterthur Endliker,0.885151841
Kyburg West,Zell (ZH) Nord,0.004495801
Kyburg West,Zell (ZH) West,10.0031031
Kyburg West,Zell (ZH) S�d,7.20772949
Kyburg West,Zell (ZH) Ost,0.002335511
Kyburg West,Gachnang,0.912134433
Lindau Nord,Buch am Irchel West,0.065256358
Lindau Nord,Buch am Irchel Ost,0.012797222
Lindau Nord,Bassersdorf Nord,0.296927694
Lindau Nord,N�rensdorf S�d,1.756946497
Lindau Nord,N�rensdorf Nord,1.841367901
Lindau Nord,N�rensdorf Ost,0.981367016
Lindau Nord,Oberembrach Ost,0.017784026
Lindau Nord,Kyburg Ost,0.149498998
Lindau Nord,Kyburg West,0.171845958
Lindau Nord,Lindau Nord,0
Lindau Nord,Lindau Kemptthal,90.35977381
Lindau Nord,Lindau Zentrum,61.90875245
Lindau Nord,Weisslingen Nord,0.019680903
Lindau Nord,Bertschikon Nord,0.041963236
Lindau Nord,Bertschikon West,0.019705893
Lindau Nord,Bertschikon Ost,0.001831614
Lindau Nord,Br�tten,17.11555233
Lindau Nord,D�gerlen S�d,0.102162009
Lindau Nord,D�ttlikon,0.192364192
Lindau Nord,Dinhard Ost,0.10368364
Lindau Nord,Dinhard S�d,0.119737973
Lindau Nord,Ellikon an der Thur,0.095146556
Lindau Nord,Elsau Nord,0.008489131
Lindau Nord,Elsau West,0.708779626
Lindau Nord,Elsau S�d,0.175024127
Lindau Nord,Hettlingen West,0.77304774
Lindau Nord,Hettlingen Ost,0.200264054
Lindau Nord,Hofstetten (ZH) Nord,0.027803085
Lindau Nord,Hofstetten (ZH) S�d,0.001726502
Lindau Nord,Neftenbach West,0.021517253
Lindau Nord,Neftenbach Nordost,0.177656121
Lindau Nord,Neftenbach Ost,2.263110178
Lindau Nord,Neftenbach S�d,0.273349857
Lindau Nord,Pfungen,2.053818518
Lindau Nord,Rickenbach (ZH) S�d,0.247082903
Lindau Nord,Rickenbach (ZH) Nord,0.121444406
Lindau Nord,Schlatt Ost,0.103473033
Lindau Nord,Schlatt West,0.005602218
Lindau Nord,Seuzach West,0.518953423
Lindau Nord,Seuzach Nord,0.941675577
Lindau Nord,Seuzach S�d,0.535471917
Lindau Nord,Wiesendangen Nord,0.057811612
Lindau Nord,Wiesendangen West,0.397080786
Lindau Nord,Wiesendangen Ost,0.334608154
Lindau Nord,Wiesendangen Menzengr�t,0.001171185
Lindau Nord,Winterthur Altstadt Nord,9.509472532
Lindau Nord,Winterthur Altstadt West,24.03086055
Lindau Nord,Winterthur Altstadt Mitte,4.367819755
Lindau Nord,Winterthur Altstadt Ost,1.22198491
Lindau Nord,Winterthur Lind Nord,0.838207688
Lindau Nord,Winterthur Lind Mitte,1.845155141
Lindau Nord,Winterthur Lind S�dwest,2.747985235
Lindau Nord,Winterthur Lind S�dost,1.524647243
Lindau Nord,Winterthur Lind Ost,1.076151333
Lindau Nord,Winterthur Heiligberg Nord,8.831576381
Lindau Nord,Winterthur Heiligberg West,0.665721899
Lindau Nord,Winterthur Heiligberg Ost,0.550290645
Lindau Nord,Winterthur Heiligberg S�d,0.633354079
Lindau Nord,Winterthur T�ssfeld Nord,2.536650619
Lindau Nord,Winterthur T�ssfeld S�d,0.995181737
Lindau Nord,Winterthur T�ssfeld Ost,1.224590562
Lindau Nord,Winterthur Br�hlberg West,0.695269665
Lindau Nord,Winterthur Br�hlberg Ost,1.465659435
Lindau Nord,Winterthur Neuwiesen S�d,0.982911836
Lindau Nord,Winterthur Neuwiesen West,0.432359274
Lindau Nord,Winterthur Neuwiesen Ost,13.40384702
Lindau Nord,Winterthur Neuwiesen Nord,1.332243521
Lindau Nord,Winterthur Talacker Nord,0.255236654
Lindau Nord,Winterthur Talacker Ost,1.003137753
Lindau Nord,Winterthur Talacker S�d,0.839012368
Lindau Nord,Winterthur Talacker Zentrum,0.477906413
Lindau Nord,Winterthur Guggenb�hl West,0.921993944
Lindau Nord,Winterthur Guggenb�hl Ost,0.769640548
Lindau Nord,Winterthur Gr�ze West,0.277798611
Lindau Nord,Winterthur Gr�ze S�d,1.294687048
Lindau Nord,Winterthur Gr�ze S�dost,0.895708504
Lindau Nord,Winterthur Gr�ze Nordwest,0.584777234
Lindau Nord,Winterthur Gr�ze Zentrum,1.57089411
Lindau Nord,Winterthur Gr�ze Nordost,0.223109451
Lindau Nord,Winterthur Gr�ze Ost,0.243950527
Lindau Nord,Winterthur Hegmatten,0.653867317
Lindau Nord,Winterthur Hegi Nord,0.428219478
Lindau Nord,Winterthur Hegi S�d,0.167753995
Lindau Nord,Winterthur Zinzikon,0.66186233
Lindau Nord,Winterthur Reutlingen,0.152970253
Lindau Nord,Winterthur Stadel,0.09185716
Lindau Nord,Winterthur Ricketwil,0.015344893
Lindau Nord,Winterthur Waser,2.325769832
Lindau Nord,Winterthur B�elwiesen,2.215443715
Lindau Nord,Winterthur Waldegg,0.449544859
Lindau Nord,Winterthur Ganzenb�hl West,0.22444575
Lindau Nord,Winterthur Ganzenb�hl Ost,0.744402032
Lindau Nord,Winterthur Sonnenberg,0.644545207
Lindau Nord,Winterthur Oberseen,0.602718928
Lindau Nord,Winterthur Gotzenwil,0.212932367
Lindau Nord,Winterthur Eidberg,0.073943791
Lindau Nord,Winterthur Iberg,0.352135451
Lindau Nord,Winterthur Sennhof,0.869620457
Lindau Nord,Winterthur Schlosstal West,0.233876712
Lindau Nord,Winterthur Schlosstal S�d,0.507341104
Lindau Nord,Winterthur Schlosstal Nord,0.512960073
Lindau Nord,Winterthur Schlosstal Ost,1.32219262
Lindau Nord,Winterthur D�ttnau Nord,0.495523921
Lindau Nord,Winterthur D�ttnau S�d,0.87510682
Lindau Nord,Winterthur Eichliacker West,0.364887232
Lindau Nord,Winterthur Eichliacker S�d,0.47272924
Lindau Nord,Winterthur Eichliacker Mitte,0.718770939
Lindau Nord,Winterthur Eichliacker Nord,1.488310807
Lindau Nord,Winterthur Eichliacker Ost,1.003543432
Lindau Nord,Winterthur Rossberg,2.578296502
Lindau Nord,Winterthur Rosenberg Ost,0.766250179
Lindau Nord,Winterthur Rosenberg S�d,0.902321024
Lindau Nord,Winterthur Rosenberg Nord,0.56483638
Lindau Nord,Winterthur Rosenberg West,0.650840469
Lindau Nord,Winterthur Blumenau Nord,0.618401285
Lindau Nord,Winterthur Blumenau S�d,1.04250392
Lindau Nord,Winterthur Blumenau Ost,0.742700955
Lindau Nord,Winterthur Weinberg Nord,0.165208609
Lindau Nord,Winterthur Weinberg S�d,0.477683753
Lindau Nord,Winterthur Oberfeld Nord,0.266187161
Lindau Nord,Winterthur Oberfeld West,0.292942758
Lindau Nord,Winterthur Oberfeld Ost,0.567015816
Lindau Nord,Winterthur Oberfeld S�dwest,0.476162518
Lindau Nord,Winterthur Oberfeld S�dost,0.268122532
Lindau Nord,Winterthur Oberfeld Mitte,0.764089112
Lindau Nord,Winterthur Lindenplatz Nord,1.057825041
Lindau Nord,Winterthur Lindenplatz S�d,0.479392802
Lindau Nord,Winterthur Lindenplatz Ost,0.616675168
Lindau Nord,Winterthur Niederfeld,1.460661871
Lindau Nord,Winterthur Neuburg,0.075073195
Lindau Nord,Winterthur Hardau,0.095117584
Lindau Nord,Winterthur H�rti Nord,0.551239743
Lindau Nord,Winterthur H�rti S�d,1.161844175
Lindau Nord,Winterthur Taggenberg Nord,0.080905372
Lindau Nord,Winterthur Taggenberg S�d,0.288719987
Lindau Nord,Winterthur Deutweg S�d,0.583212054
Lindau Nord,Winterthur Deutweg West,0.579775551
Lindau Nord,Winterthur Deutweg Ost,1.024292243
Lindau Nord,Winterthur Deutweg Nordwest,1.431102924
Lindau Nord,Winterthur Deutweg Nordost,0.487987551
Lindau Nord,Winterthur Gutschick,1.048050672
Lindau Nord,Winterthur Endliker,0.756192971
Lindau Nord,Zell (ZH) Nord,0.002046961
Lindau Nord,Zell (ZH) West,1.859663575
Lindau Nord,Zell (ZH) S�d,1.342373021
Lindau Nord,Zell (ZH) Ost,0.001065591
Lindau Nord,Gachnang,0.85966108
Lindau Kemptthal,Buch am Irchel West,0.126607662
Lindau Kemptthal,Buch am Irchel Ost,0.02622825
Lindau Kemptthal,Bassersdorf Nord,0.230085261
Lindau Kemptthal,N�rensdorf S�d,1.395017535
Lindau Kemptthal,N�rensdorf Nord,1.35256898
Lindau Kemptthal,N�rensdorf Ost,0.707518831
Lindau Kemptthal,Oberembrach Ost,0.032463906
Lindau Kemptthal,Kyburg Ost,0.319242357
Lindau Kemptthal,Kyburg West,0.348423153
Lindau Kemptthal,Lindau Nord,76.88069815
Lindau Kemptthal,Lindau Kemptthal,0
Lindau Kemptthal,Lindau Zentrum,50.03551227
Lindau Kemptthal,Weisslingen Nord,0.042549604
Lindau Kemptthal,Bertschikon Nord,0.081798376
Lindau Kemptthal,Bertschikon West,0.03844739
Lindau Kemptthal,Bertschikon Ost,0.003742441
Lindau Kemptthal,Br�tten,12.21142208
Lindau Kemptthal,D�gerlen S�d,0.199254437
Lindau Kemptthal,D�ttlikon,0.375945989
Lindau Kemptthal,Dinhard Ost,0.202473372
Lindau Kemptthal,Dinhard S�d,0.21613512
Lindau Kemptthal,Ellikon an der Thur,0.1855777
Lindau Kemptthal,Elsau Nord,0.017359568
Lindau Kemptthal,Elsau West,1.4577298
Lindau Kemptthal,Elsau S�d,0.356416612
Lindau Kemptthal,Hettlingen West,1.507516973
Lindau Kemptthal,Hettlingen Ost,0.390296064
Lindau Kemptthal,Hofstetten (ZH) Nord,0.05881266
Lindau Kemptthal,Hofstetten (ZH) S�d,0.0037201
Lindau Kemptthal,Neftenbach West,0.041834179
Lindau Kemptthal,Neftenbach Nordost,0.346814136
Lindau Kemptthal,Neftenbach Ost,4.408817072
Lindau Kemptthal,Neftenbach S�d,0.563039934
Lindau Kemptthal,Pfungen,3.610933164
Lindau Kemptthal,Rickenbach (ZH) S�d,0.481930388
Lindau Kemptthal,Rickenbach (ZH) Nord,0.236643562
Lindau Kemptthal,Schlatt Ost,0.219300889
Lindau Kemptthal,Schlatt West,0.012094044
Lindau Kemptthal,Seuzach West,1.014449111
Lindau Kemptthal,Seuzach Nord,1.831033973
Lindau Kemptthal,Seuzach S�d,1.044608896
Lindau Kemptthal,Wiesendangen Nord,0.112842616
Lindau Kemptthal,Wiesendangen West,0.776148989
Lindau Kemptthal,Wiesendangen Ost,0.655071156
Lindau Kemptthal,Wiesendangen Menzengr�t,0.002392634
Lindau Kemptthal,Winterthur Altstadt Nord,18.74983403
Lindau Kemptthal,Winterthur Altstadt West,47.42406604
Lindau Kemptthal,Winterthur Altstadt Mitte,8.58405095
Lindau Kemptthal,Winterthur Altstadt Ost,2.401600231
Lindau Kemptthal,Winterthur Lind Nord,1.633046086
Lindau Kemptthal,Winterthur Lind Mitte,3.613330143
Lindau Kemptthal,Winterthur Lind S�dwest,5.382642257
Lindau Kemptthal,Winterthur Lind S�dost,2.989955455
Lindau Kemptthal,Winterthur Lind Ost,2.107005895
Lindau Kemptthal,Winterthur Heiligberg Nord,17.37075647
Lindau Kemptthal,Winterthur Heiligberg West,1.3078722
Lindau Kemptthal,Winterthur Heiligberg Ost,1.076745607
Lindau Kemptthal,Winterthur Heiligberg S�d,1.242091088
Lindau Kemptthal,Winterthur T�ssfeld Nord,4.98851877
Lindau Kemptthal,Winterthur T�ssfeld S�d,1.954191964
Lindau Kemptthal,Winterthur T�ssfeld Ost,2.404376614
Lindau Kemptthal,Winterthur Br�hlberg West,1.365260556
Lindau Kemptthal,Winterthur Br�hlberg Ost,2.883507967
Lindau Kemptthal,Winterthur Neuwiesen S�d,1.93162891
Lindau Kemptthal,Winterthur Neuwiesen West,0.847285263
Lindau Kemptthal,Winterthur Neuwiesen Ost,26.44548644
Lindau Kemptthal,Winterthur Neuwiesen Nord,2.61101325
Lindau Kemptthal,Winterthur Talacker Nord,0.499656718
Lindau Kemptthal,Winterthur Talacker Ost,1.960773884
Lindau Kemptthal,Winterthur Talacker S�d,1.644360913
Lindau Kemptthal,Winterthur Talacker Zentrum,0.93638402
Lindau Kemptthal,Winterthur Guggenb�hl West,1.802221323
Lindau Kemptthal,Winterthur Guggenb�hl Ost,1.504834962
